product_id,product_name,category,total_sales,quantity_sold,order_count,customer_count
282,베이직 미니 가습기 베이지 P282,생활가전,25450200,73,42,42
52,컴팩트 공기청정기 베이지 P052,생활가전,24752000,72,44,44
192,플러스 미니 가습기 화이트 P192,생활가전,23005100,70,43,42
272,베이직 전기포트 화이트 P272,생활가전,21665800,69,48,47
292,컴팩트 미니 가습기 그린 P292,생활가전,19653900,71,39,39
172,프리미엄 미니 가습기 블루 P172,생활가전,18433600,60,36,35
291,베이직 보조배터리 블루 P291,전자기기,17980900,82,51,49
243,클래식 베이직 셔츠 그린 P243,패션,17759200,118,66,62
182,스마트 핸디 청소기 화이트 P182,생활가전,17234100,79,45,44
231,베이직 무선 마우스 그린 P231,전자기기,16467700,82,49,48
212,라이트 선풍기 그레이 P212,생활가전,15810500,56,33,33
161,컴팩트 블루투스 스피커 블랙 P161,전자기기,15806800,99,52,49
202,클래식 미니 가습기 그린 P202,생활가전,15785600,71,42,42
133,프로 바람막이 그린 P133,패션,15674400,99,65,63
93,라이트 바람막이 그린 P093,패션,15584800,94,61,61
112,플러스 핸디 청소기 블루 P112,생활가전,15425000,66,45,44
251,스마트 무선 마우스 화이트 P251,전자기기,15403000,78,47,47
153,라이트 바람막이 베이지 P153,패션,15309400,100,56,55
252,에코 핸디 청소기 블루 P252,생활가전,14968900,55,31,30
173,데일리 후드 티셔츠 그레이 P173,패션,13675200,99,59,58
92,프리미엄 토스터 그린 P092,생활가전,13596400,80,51,51
83,클래식 슬랙스 블랙 P083,패션,13345800,91,60,57
142,클래식 미니 가습기 그레이 P142,생활가전,13072800,69,45,45
213,라이트 바람막이 블랙 P213,패션,12741700,104,70,69
281,프리미엄 무선 이어폰 베이지 P281,전자기기,12144800,68,41,41
241,프리미엄 무선 마우스 블루 P241,전자기기,12117900,85,60,56
62,플러스 핸디 청소기 화이트 P062,생활가전,11521100,45,32,32
42,플러스 핸디 청소기 베이지 P042,생활가전,11507900,73,40,40
22,라이트 선풍기 블루 P022,생활가전,11350500,59,36,36
223,컴팩트 데님 팬츠 그레이 P223,패션,11220000,121,75,70
143,데일리 베이직 셔츠 그레이 P143,패션,11062500,118,72,71
160,스마트 벽시계 그린 P160,홈인테리어,11060000,85,48,46
183,스마트 슬랙스 그린 P183,패션,10890900,95,63,61
152,베이직 전기포트 그레이 P152,생활가전,10796900,66,48,46
101,에코 블루투스 스피커 그레이 P101,전자기기,10416000,105,63,59
72,데일리 토스터 그린 P072,생활가전,10318000,80,53,53
171,프리미엄 기계식 키보드 블랙 P171,전자기기,10031700,104,66,63
293,프리미엄 니트 그레이 P293,패션,9996000,77,50,50
111,프리미엄 무선 마우스 블랙 P111,전자기기,9976400,74,44,44
102,컴팩트 공기청정기 블루 P102,생활가전,9947500,38,24,24
12,베이직 공기청정기 그린 P012,생활가전,9908800,61,41,40
43,클래식 바람막이 그린 P043,패션,9711300,60,33,33
51,프로 블루투스 스피커 그린 P051,전자기기,9424100,77,42,39
271,스마트 웹캠 블루 P271,전자기기,9423000,94,56,55
273,프리미엄 바람막이 블루 P273,패션,9396000,58,35,34
63,라이트 바람막이 화이트 P063,패션,9275000,94,66,65
32,스마트 핸디 청소기 블랙 P032,생활가전,9097600,48,32,31
203,베이직 데님 팬츠 그레이 P203,패션,8949900,90,57,57
197,스마트 러닝 벨트 화이트 P197,스포츠,8822500,72,42,41
